endTime,artistName,trackName,msPlayed,month
2021-03-19T02:50:00Z,Mob Rich,Loser,3750,March 2021
2021-03-19T03:17:00Z,Yoste,You Can't Fix Me,189429,March 2021
2021-03-19T03:20:00Z,Mob Rich,Loser,145146,March 2021
2021-03-19T03:23:00Z,Emily Brimlow,Afasawaya,180800,March 2021
2021-03-19T03:26:00Z,Shockley,Close Enough,174377,March 2021
2021-03-19T03:29:00Z,Nathan Nzanga,Seeds,220000,March 2021
2021-03-19T03:33:00Z,Sincerely Collins,Yap Yap,44023,March 2021
2021-03-19T03:33:00Z,Evan Crommett,Thin Mints,202145,March 2021
2021-03-19T03:34:00Z,Sincerely Collins,Yap Yap,220,March 2021
2021-03-19T03:34:00Z,Evan Crommett,Thin Mints,630,March 2021
2021-03-19T03:34:00Z,Nathan Nzanga,Seeds,2840,March 2021
2021-03-19T03:34:00Z,Andrey Azizov,You Forever,3270,March 2021
2021-03-19T03:34:00Z,Mob Rich,Loser,960,March 2021
2021-03-19T03:34:00Z,Emily Brimlow,Afasawaya,1060,March 2021
2021-03-19T03:34:00Z,Shockley,Close Enough,1640,March 2021
2021-03-19T03:37:00Z,Yoste,You Can't Fix Me,189429,March 2021
2021-03-19T03:39:00Z,Mob Rich,Loser,145146,March 2021
2021-03-19T03:41:00Z,Emily Brimlow,Afasawaya,100833,March 2021
2021-03-19T03:42:00Z,Nathan Nzanga,Seeds,2870,March 2021
2021-03-19T03:42:00Z,Shockley,Close Enough,65830,March 2021
2021-03-19T03:45:00Z,Sincerely Collins,Yap Yap,38643,March 2021
2021-03-19T03:45:00Z,Evan Crommett,Thin Mints,161276,March 2021
2021-03-19T03:46:00Z,Andrey Azizov,You Forever,24950,March 2021
2021-03-19T03:48:00Z,Bastille,survivin',104240,March 2021
2021-03-19T03:51:00Z,ELLIS!,I'm Good (feat. Sammy Adams),203604,March 2021
2021-03-19T03:54:00Z,Corey Harper,entertainment,184843,March 2021
2021-03-19T03:57:00Z,The Unlikely Candidates,High Low,184473,March 2021
2021-03-19T04:01:00Z,Senadanielcano,Changes,211286,March 2021
2021-03-19T04:04:00Z,Jackson Penn,My Girl,178194,March 2021
2021-03-19T04:08:00Z,Jonny Glenn,Wasted,194500,March 2021
2021-03-19T04:11:00Z,Sj,Can't Be Happier,185660,March 2021
2021-03-19T04:11:00Z,Bennett,Stressing,6529,March 2021
2021-03-19T04:29:00Z,Cameo Club,Take Me,201081,March 2021
2021-03-19T04:30:00Z,Aaron Kellim,Hold You,1950,March 2021
2021-03-19T04:30:00Z,Carter Reeves,Alone Time,1390,March 2021
2021-03-19T04:30:00Z,Lou,This Forever,84788,March 2021
2021-03-19T04:31:00Z,BRELAND,Hot Sauce,990,March 2021
2021-03-19T04:31:00Z,Mills,Kanye in My Head,1100,March 2021
2021-03-19T04:31:00Z,Forrest.,Backwards,4380,March 2021
2021-03-19T04:31:00Z,Livingston,Say The Word,5300,March 2021
2021-03-19T04:31:00Z,Dave Mac,Better Again,26550,March 2021
2021-03-19T04:31:00Z,MisterWives,SUPERBLOOM,990,March 2021
2021-03-19T04:32:00Z,Logan Smith,One Day,83090,March 2021
2021-03-19T04:34:00Z,Gordon Snyder,Outta PA,1450,March 2021
2021-03-19T04:34:00Z,Luke Mitrani,Golden Eyes,93630,March 2021
2021-03-19T05:13:00Z,Yoste,You Can't Fix Me,189429,March 2021
2021-03-19T05:19:00Z,Mob Rich,Loser,145146,March 2021
2021-03-19T05:19:00Z,Emily Brimlow,Afasawaya,5043,March 2021
2021-03-19T05:21:00Z,Nathan Nzanga,Seeds,5850,March 2021
2021-03-19T05:21:00Z,Shockley,Close Enough,64080,March 2021
2021-03-19T05:23:00Z,Evan Crommett,Thin Mints,161276,March 2021
2021-03-19T05:24:00Z,Sincerely Collins,Yap Yap,39355,March 2021
2021-03-19T09:06:00Z,Lofi Fruits Music,Take It Off,47070,March 2021
2021-03-19T15:15:00Z,Evan Crommett,Thin Mints,1983,March 2021
2021-03-19T15:15:00Z,Nathan Nzanga,Seeds,1258,March 2021
2021-03-19T15:15:00Z,Nathan Nzanga,Seeds,117,March 2021
2021-03-19T15:15:00Z,Mob Rich,Loser,2495,March 2021
2021-03-19T15:15:00Z,Emily Brimlow,Afasawaya,448,March 2021
2021-03-19T15:15:00Z,Emily Brimlow,Afasawaya,1728,March 2021
2021-03-19T15:15:00Z,Shockley,Close Enough,5088,March 2021
2021-03-19T15:15:00Z,Shockley,Close Enough,85,March 2021
2021-03-19T15:19:00Z,Yoste,You Can't Fix Me,189429,March 2021
2021-03-19T15:21:00Z,Mob Rich,Loser,145146,March 2021
2021-03-19T15:21:00Z,Emily Brimlow,Afasawaya,18687,March 2021
2021-03-19T15:21:00Z,Shockley,Close Enough,4543,March 2021
2021-03-19T15:24:00Z,Nathan Nzanga,Seeds,180618,March 2021
2021-03-19T15:27:00Z,Evan Crommett,Thin Mints,161276,March 2021
2021-03-19T15:28:00Z,Sincerely Collins,Yap Yap,37259,March 2021
2021-03-19T15:28:00Z,Andrey Azizov,You Forever,30634,March 2021
2021-03-19T15:29:00Z,ELLIS!,I'm Good (feat. Sammy Adams),13333,March 2021
2021-03-19T15:29:00Z,Bastille,survivin',19498,March 2021
2021-03-19T15:32:00Z,Corey Harper,entertainment,184843,March 2021
2021-03-19T15:35:00Z,The Unlikely Candidates,High Low,184473,March 2021
2021-03-19T15:39:00Z,Senadanielcano,Changes,211286,March 2021
2021-03-19T15:41:00Z,Jackson Penn,My Girl,178194,March 2021
2021-03-19T15:45:00Z,Jonny Glenn,Wasted,194500,March 2021
2021-03-19T15:48:00Z,Sj,Can't Be Happier,185660,March 2021
2021-03-19T15:58:00Z,Bennett,Stressing,213707,March 2021
2021-03-19T21:49:00Z,Cameo Club,Take Me,53382,March 2021
2021-03-19T21:52:00Z,Jonny Glenn,Wasted,194500,March 2021
2021-03-19T21:55:00Z,Sj,Can't Be Happier,185660,March 2021
2021-03-19T21:59:00Z,Bennett,Stressing,213707,March 2021
2021-03-19T22:02:00Z,Cameo Club,Take Me,201081,March 2021
2021-03-19T22:06:00Z,Carter Reeves,Alone Time,2218,March 2021
2021-03-19T22:06:00Z,Lou,This Forever,191658,March 2021
2021-03-19T22:09:00Z,Aaron Kellim,Hold You,203778,March 2021
2021-03-19T22:13:00Z,Dave Mac,Better Again,218591,March 2021
2021-03-19T22:15:00Z,Mills,Kanye in My Head,122000,March 2021
2021-03-19T22:18:00Z,MisterWives,SUPERBLOOM,213546,March 2021
2021-03-19T22:21:00Z,Forrest.,Backwards,173283,March 2021
2021-03-19T22:25:00Z,Livingston,Say The Word,223352,March 2021
2021-03-19T22:27:00Z,BRELAND,Hot Sauce,144000,March 2021
2021-03-19T22:30:00Z,Logan Smith,One Day,176056,March 2021
